Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
334,Tijjani Reijnders,MF,Manchester City,27-101,1998,10,9,758,8.4,1,2,3,1,0,0,2,0,1.5,1.5,1.4,2.9,22,39,28,0.12,0.24,0.36,0.12,0.36,0.18,0.17,0.35,0.18,0.35
335,Declan Rice,MF,Arsenal,26-297,1999,10,9,804,8.9,2,2,4,2,0,0,0,0,0.9,0.9,1.7,2.6,25,64,21,0.22,0.22,0.45,0.22,0.45,0.11,0.18,0.29,0.11,0.29
336,Chris Richards,DF,Crystal Palace,25-224,2000,10,10,900,10,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,2,15,2,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
337,Richarlison,FW,Tottenham,28-181,1997,10,5,545,6.1,3,2,5,3,0,0,1,0,1.9,1.9,1.3,3.2,8,9,19,0.5,0.33,0.83,0.5,0.83,0.32,0.22,0.53,0.32,0.53
338,Chris Rigg,MF,Sunderland,18-142,2007,6,3,187,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,6,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
339,Patrick Roberts,"MF,FW",Sunderland,28-275,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0.11,0,0.11,0.11,0.11
340,Andrew Robertson,DF,Liverpool,31-241,1994,5,1,240,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,7,17,17,0,0,0,0,0,0.08,0.17,0.25,0.08,0.25
341,Antonee Robinson,DF,Fulham,28-091,1997,3,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0.04,0.04,0,0.04
342,Joe Rodon,DF,Leeds United,28-016,1997,10,10,900,10,2,0,2,2,0,0,0,0,0.7,0.7,0.1,0.8,8,43,0,0.2,0,0.2,0.2,0.2,0.07,0.01,0.08,0.07,0.08
343,Rodri,MF,Manchester City,29-138,1996,6,4,293,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,20,5,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
344,Guido Rodriguez,MF,West Ham,31-209,1994,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0.03,0,0.03,0.03,0.03
345,Robin Roefs,GK,Sunderland,22-294,2003,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
346,Morgan Rogers,"MF,FW",Aston Villa,23-104,2002,10,10,891,9.9,1,2,3,1,0,0,1,0,0.7,0.7,1.1,1.8,14,28,55,0.1,0.2,0.3,0.1,0.3,0.07,0.11,0.18,0.07,0.18
347,Merlin Rhl,"MF,FW",Everton,23-125,2002,3,0,71,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,3,5,0,0,0,0,0,0.53,0.09,0.62,0.53,0.62
348,Cristian Romero,DF,Tottenham,27-194,1998,8,7,661,7.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.2,2,33,0,0,0.14,0.14,0,0.14,0.01,0.02,0.03,0.01,0.03
349,Georginio Rutter,"FW,MF",Brighton,23-201,2002,9,7,604,6.7,0,2,2,0,0,0,1,0,0.4,0.4,1.8,2.2,14,29,27,0,0.3,0.3,0,0.3,0.06,0.27,0.33,0.06,0.33
350,Jose Sa,GK,Wolves,32-294,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
351,Noah Sadiki,MF,Sunderland,20-325,2004,10,10,891,9.9,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,16,30,30,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
352,Bukayo Saka,FW,Arsenal,24-063,2001,8,7,591,6.6,2,0,2,1,1,1,0,0,1.9,1.1,1.6,2.7,29,13,83,0.3,0,0.3,0.15,0.15,0.29,0.24,0.53,0.17,0.41
